TimeStamp,碰撞物体名称,碰撞点X,碰撞点Y,碰撞点Z,左瞳孔直径(mm),右瞳孔直径(mm),左瞳孔X,左瞳孔Y,右瞳孔X,右瞳孔Y,左眼睁眼度,右眼睁眼度,玩家位置X,玩家位置Y,玩家位置Z,玩家旋转X,玩家旋转Y,玩家旋转Z,玩家旋转W
2025-06-04_20:49:54.1682,Plane,3.5948,0.0000,-3.2223,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,4.2449,1.4480,-0.1263,-0.0584,0.9652,-0.1838,-0.1768
2025-06-04_20:49:54.1793,Plane,3.7353,0.0000,-3.4559,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,4.2447,1.4479,-0.1268,-0.0592,0.9647,-0.1839,-0.1792
2025-06-04_20:49:54.1940,Plane,3.6951,0.0000,-3.4324,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,4.2444,1.4479,-0.1270,-0.0601,0.9641,-0.1838,-0.1819
2025-06-04_20:49:54.2010,Plane,3.8754,0.0000,-3.6834,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,4.2441,1.4478,-0.1275,-0.0608,0.9636,-0.1838,-0.1846
2025-06-04_20:49:54.2124,Plane,3.8512,0.0000,-3.6755,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,4.2435,1.4477,-0.1280,-0.0614,0.9629,-0.1838,-0.1879
2025-06-04_20:49:54.2234,Plane,3.8416,0.0000,-3.6850,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,4.2429,1.4477,-0.1281,-0.0625,0.9621,-0.1838,-0.1917
2025-06-04_20:49:54.2340,Plane,3.8427,0.0000,-3.7063,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,4.2423,1.4475,-0.1285,-0.0634,0.9613,-0.1837,-0.1955
2025-06-04_20:49:54.2458,Plane,3.8123,0.0000,-3.6965,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,4.2415,1.4474,-0.1289,-0.0642,0.9603,-0.1838,-0.1996
2025-06-04_20:49:54.2570,Plane,3.7981,0.0000,-3.6831,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,4.2406,1.4474,-0.1288,-0.0649,0.9591,-0.1844,-0.2047
2025-06-04_20:49:54.2676,Plane,3.7726,0.0000,-3.6926,0.0000,0.0000,0.5000,0.5000,0.5000,0.5000,1.0000,1.0000,4.2396,1.4473,-0.1290,-0.0671,0.9579,-0.1837,-0.2101
